2026-05-16 16:41:43 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 440, Loss: {'action_dit_loss': 0.7876492738723755, 'future_video_loss': 0.10139325261116028, 'future_video_loss_scaled': 0.10139325261116028, 'total_loss': 0.8890424966812134, 'data_time': 0.026535703000035937, 'model_time': 1.1606189440000207, 'learning_rate/backbone_interface': 8.8e-07, 'learning_rate/action_model': 8.8e-06, 'epoch': 0.07})
2026-05-16 16:41:54 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 450, Loss: {'action_dit_loss': 0.7227714657783508, 'future_video_loss': 0.15028062462806702, 'future_video_loss_scaled': 0.15028062462806702, 'total_loss': 0.8730521202087402, 'data_time': 0.018268631000069036, 'model_time': 1.1555822290000606, 'learning_rate/backbone_interface': 9.000000000000001e-07, 'learning_rate/action_model': 9e-06, 'epoch': 0.07})
2026-05-16 16:42:06 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 460, Loss: {'action_dit_loss': 0.7094851136207581, 'future_video_loss': 0.12688517570495605, 'future_video_loss_scaled': 0.12688517570495605, 'total_loss': 0.8363702893257141, 'data_time': 0.02316860300004464, 'model_time': 1.1600757070000327, 'learning_rate/backbone_interface': 9.200000000000001e-07, 'learning_rate/action_model': 9.2e-06, 'epoch': 0.07})
2026-05-16 16:42:18 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 470, Loss: {'action_dit_loss': 0.6863747835159302, 'future_video_loss': 0.10699782520532608, 'future_video_loss_scaled': 0.10699782520532608, 'total_loss': 0.793372631072998, 'data_time': 0.017727969000020494, 'model_time': 1.141477350999935, 'learning_rate/backbone_interface': 9.400000000000001e-07, 'learning_rate/action_model': 9.4e-06, 'epoch': 0.07})
2026-05-16 16:42:30 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 480, Loss: {'action_dit_loss': 0.690114438533783, 'future_video_loss': 0.1456315964460373, 'future_video_loss_scaled': 0.1456315964460373, 'total_loss': 0.8357460498809814, 'data_time': 0.022408942999959436, 'model_time': 1.163786185000049, 'learning_rate/backbone_interface': 9.600000000000001e-07, 'learning_rate/action_model': 9.600000000000001e-06, 'epoch': 0.08})
2026-05-16 16:42:41 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 490, Loss: {'action_dit_loss': 0.6987549066543579, 'future_video_loss': 0.11456166207790375, 'future_video_loss_scaled': 0.11456166207790375, 'total_loss': 0.8133165836334229, 'data_time': 0.018535228000018833, 'model_time': 1.1454475159999902, 'learning_rate/backbone_interface': 9.800000000000001e-07, 'learning_rate/action_model': 9.800000000000001e-06, 'epoch': 0.08})
2026-05-16 16:42:54 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 500, Loss: {'action_dit_loss': 0.6539126038551331, 'future_video_loss': 0.11247097700834274, 'future_video_loss_scaled': 0.11247097700834274, 'total_loss': 0.7663835883140564, 'mse_score': 0.5174465179443359, 'data_time': 0.02637503799996921, 'model_time': 1.133200407000004, 'learning_rate/backbone_interface': 1.0000000000000002e-06, 'learning_rate/action_model': 1e-05, 'epoch': 0.08})
2026-05-16 16:43:06 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 510, Loss: {'action_dit_loss': 0.733773946762085, 'future_video_loss': 0.17443306744098663, 'future_video_loss_scaled': 0.17443306744098663, 'total_loss': 0.9082069993019104, 'data_time': 0.01789831899998262, 'model_time': 1.1547628980000582, 'learning_rate/backbone_interface': 1.02e-06, 'learning_rate/action_model': 1.02e-05, 'epoch': 0.08})
2026-05-16 16:43:18 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 520, Loss: {'action_dit_loss': 0.6000297665596008, 'future_video_loss': 0.280776709318161, 'future_video_loss_scaled': 0.280776709318161, 'total_loss': 0.8808064460754395, 'data_time': 0.010210028999949827, 'model_time': 1.1645657220000203, 'learning_rate/backbone_interface': 1.04e-06, 'learning_rate/action_model': 1.04e-05, 'epoch': 0.08})
2026-05-16 16:43:30 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 530, Loss: {'action_dit_loss': 0.6129969954490662, 'future_video_loss': 0.25719332695007324, 'future_video_loss_scaled': 0.25719332695007324, 'total_loss': 0.8701903223991394, 'data_time': 0.018386500000019623, 'model_time': 1.1368712570000525, 'learning_rate/backbone_interface': 1.06e-06, 'learning_rate/action_model': 1.06e-05, 'epoch': 0.08})
2026-05-16 16:43:41 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 540, Loss: {'action_dit_loss': 0.6635984182357788, 'future_video_loss': 0.1539573073387146, 'future_video_loss_scaled': 0.1539573073387146, 'total_loss': 0.8175557255744934, 'data_time': 0.010255252000092696, 'model_time': 1.1352454499999567, 'learning_rate/backbone_interface': 1.08e-06, 'learning_rate/action_model': 1.08e-05, 'epoch': 0.09})
2026-05-16 16:43:53 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 550, Loss: {'action_dit_loss': 0.5941480994224548, 'future_video_loss': 0.11335879564285278, 'future_video_loss_scaled': 0.11335879564285278, 'total_loss': 0.7075068950653076, 'data_time': 0.018241607000049953, 'model_time': 1.151256046999947, 'learning_rate/backbone_interface': 1.1e-06, 'learning_rate/action_model': 1.1000000000000001e-05, 'epoch': 0.09})
2026-05-16 16:44:05 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 560, Loss: {'action_dit_loss': 0.5892109274864197, 'future_video_loss': 0.2168988734483719, 'future_video_loss_scaled': 0.2168988734483719, 'total_loss': 0.8061097860336304, 'data_time': 0.01026556299996173, 'model_time': 1.1703368260000389, 'learning_rate/backbone_interface': 1.12e-06, 'learning_rate/action_model': 1.1200000000000001e-05, 'epoch': 0.09})
2026-05-16 16:44:17 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 570, Loss: {'action_dit_loss': 0.6207624077796936, 'future_video_loss': 0.13022373616695404, 'future_video_loss_scaled': 0.13022373616695404, 'total_loss': 0.7509861588478088, 'data_time': 0.019193893000078788, 'model_time': 1.163925221999989, 'learning_rate/backbone_interface': 1.14e-06, 'learning_rate/action_model': 1.1400000000000001e-05, 'epoch': 0.09})
2026-05-16 16:44:29 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 580, Loss: {'action_dit_loss': 0.6425033807754517, 'future_video_loss': 0.12199317663908005, 'future_video_loss_scaled': 0.12199317663908005, 'total_loss': 0.7644965648651123, 'data_time': 0.010502109000071869, 'model_time': 1.1434373559999358, 'learning_rate/backbone_interface': 1.1600000000000001e-06, 'learning_rate/action_model': 1.16e-05, 'epoch': 0.09})
